Index,Category,1-depth,2-depth,3-depth,Component,Description,Featured,Data,Comment
134,설정,파이프라인,전체모니터 탭,,파이프라인 상태 테이블,"문서명 / 단계(파싱→청킹→추출→적재 시각적 컬러 dot 진행) / 상태(완료·진행중·검수대기·실패) / 시작시간 / 소요시간 / 액션(로그·상세·검수하기·재시도·무시)",Y,,"예시 6건: 장비매뉴얼_v2(전단계완료/3분42초) / SOP_인쇄공정_v3(완료/2분18초) / 품질보고서_2026Q1(청킹중/진행중) / 설비점검_SOP_v3(OCR검수대기/검수하기→문서관리) / 원자재검사기준(파싱실패/재시도·무시) / 배치기록서_LOT2026-0312(완료/1분55초)"
,,,,,,,,,
,,,,,[운영 모니터링],,,,
135,설정,운영 모니터링,,,,,,,
136,설정,운영 모니터링,대시보드,,KPI 카드 (4개),"일일 토큰 사용량(148K 한도500K ▲+12K vs 어제) / 월간 비용($127.40 누적4.2M tokens ▲+$12.30) / RAG Faithfulness(0.91 목표0.90이상 ▲+0.03) / 평균 응답 시간(1.6초 목표2.0이하 ▼-0.2초)",Y,,
137,설정,운영 모니터링,성능 평가,,정량적 성능 평가 테이블 (Ragas),"지표 / 현재 점수 / 지난주 / 추이 / 목표 컬럼. 마지막 평가 시간 표시. 재평가 / 평가 이력 버튼",Y,,"예시 4건: Faithfulness(0.91/0.88/▲+0.03/목표0.90) / Answer Relevancy(0.87/0.85/▲+0.02/목표0.85) / Context Precision(0.82/0.84/▼-0.02/목표0.85→미달 노란색) / Context Recall(0.89/0.87/▲+0.02/목표0.85)"
,,,,,,,,,
,,,,,[에이전트],,,,
138,설정,에이전트,,,,,,,
139,설정,에이전트,에이전트 목록 탭,,,,,,
140,설정,에이전트,에이전트 목록 탭,에이전트 리스트 (좌측),Main Agent 카드,"AX Flow 메인 — 최상위 에이전트 / 메인 채팅. Skill 4 / Hook 2 / Cmd 3 표시. 항상 Active",,,
141,설정,에이전트,에이전트 목록 탭,에이전트 리스트 (좌측),Sub Agent 목록,"커스텀 에이전트 목록. 각각 T/V/K 파라미터·Skill/Hook/Cmd 수·상태(Active·Draft) 표시. + 새 에이전트 버튼",Y,,"예시 5건: 품질전문가 v2(T=0.3/V:0.65/K=5/Active/Skill2·Hook1·Cmd5) / 안전관리(T=0.5/V:0.50/K=8/Active) / 설비진단(T=0.2/V:0.30/K=3/Active) / 일반 도우미(T=0.7/V:0.70/K=10/Draft) / 글로벌 요약(T=0.4/V:0.40/K=15/Draft)"
142,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — 프롬프트 탭,에이전트명 입력,에이전트 이름 입력 필드,,,예시: 품질전문가 v2 (정밀)
143,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — 프롬프트 탭,페르소나 셀렉트,"제조 품질 전문가 v2 / 안전관리 어시스턴트 / 설비 진단 전문가 / 일반 도우미",,,
144,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — 프롬프트 탭,System 프롬프트 textarea,"시스템 프롬프트 편집 영역",Y,,예시: 당신은 제조 공장의 품질 관리 전문가입니다. SOP 문서와 장비 매뉴얼을 기반으로...
145,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — 프롬프트 탭,User 프롬프트 템플릿 textarea,"사용자 프롬프트 템플릿. {query} 변수 포함",,,예시: 다음 질문에 대해 관련 SOP/매뉴얼을 참조하여... 질문: {query}
146,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — 파라미터 탭,하이브리드 비중 슬라이더,"Vector(0~1) / Graph(0~1) 가중치 조절. 합계 1.0",Y,,예시: Vector 0.65 / Graph 0.35
147,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — 파라미터 탭,LLM 파라미터 슬라이더,"Temperature(0~1) / Top-P(0~1) 조절",,,예시: Temperature 0.3 / Top-P 0.9
148,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — 파라미터 탭,Retrieval 파라미터 슬라이더,"Top-K(1~20) / Score Threshold(0~1) 조절",,,예시: Top-K 5 / Score Threshold 0.70
149,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — Skill 탭,Skill 목록,"skill.md 기반 프롬프트. 활성 토글 / Skill명 / 파일명 / 설명 / 연결된 Tool·MCP 태그. + 새 Skill / 편집 버튼",Y,,"예시 4건: 불량 원인 분석(quality-analysis.md/ON/문서검색·DB조회·MES데이터·보고서생성) / 설비 점검 체크리스트(equip-checklist.md/ON/문서검색·DB조회) / SOP 개정 비교(sop-diff.md/ON/문서검색·그래프탐색) / 일일 생산 브리핑(daily-briefing.md/OFF/DB조회·MES데이터·ERP연동·보고서생성)"
150,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — Hooks 탭,Hooks 목록,"활성 토글 / Hook명 / 설명 / 시점(Before·After) 태그. 전체 관리 링크",Y,,"예시 3건: 응답 전—품질 규격 자동 첨부(Before/ON) / 응답 후—답변 로그 저장(After/ON) / 응답 후—Slack 알림 전송(After/OFF)"
151,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측) — Command 탭,Command 목록,"명령어 / 설명 / 활성 토글. + 새 커맨드 버튼",Y,,"예시 5건: /분석(품질 이슈 분석·원인-결과 도출/ON) / /요약(참조 문서 핵심 포인트 요약/ON) / /비교(두 문서·버전 간 차이점 비교/ON) / /점검(설비 점검 체크리스트 자동 생성/OFF) / /보고(대화 기반 보고서 초안 생성/OFF)"
152,설정,에이전트,에이전트 목록 탭,에이전트 상세 (우측),삭제 / 저장 버튼,에이전트 삭제(확인 필요) / 모든 탭 설정 통합 저장,,,
153,설정,에이전트,A/B 비교 테스트 탭,,,,,,
154,설정,에이전트,A/B 비교 테스트 탭,,에이전트 A 패널,"에이전트 셀렉트 + 채팅 영역 + 성능 지표(응답시간·토큰·Relevance)",Y,,예시: 품질전문가 v2 / 응답 1.2초 / 토큰 847 / Relevance 0.92
155,설정,에이전트,A/B 비교 테스트 탭,,에이전트 B 패널,"동일 구조. 다른 에이전트 선택 가능",Y,,예시: 안전관리 / 응답 1.8초 / 토큰 1124 / Relevance 0.78
156,설정,에이전트,A/B 비교 테스트 탭,,공통 입력창,"질문 입력 → 양쪽 에이전트에 동시 전송. 전송 버튼",Y,,
157,설정,에이전트,A/B 비교 테스트 탭,,비교 결과 요약 바,"에이전트 A vs B 비교 결과 한 줄 요약",,,예시: A가 정확도 +14% 우위 | B가 커버리지 +2건 우위 | A가 응답속도 0.6초 빠름
,,,,,,,,,
,,,,,[권한/RBAC],,,,
158,설정,권한/RBAC,,,,,,,
159,설정,권한/RBAC,권한 등급 관리 탭,,등급 테이블 (좌측),"등급 / 레벨(L4~L1) / 문서 접근 범위 / 그래프 접근 범위 / 사용자 수. + 등급 추가 / 편집 버튼",Y,,"예시 4건: Super Admin(L4/전체/전체/1명) / 관리자(L3/전체/전체/3명) / 편집자(L2/소속도메인/소속도메인/8명) / 뷰어(L1/허용문서만/허용노드만/24명)"
160,설정,권한/RBAC,권한 등급 관리 탭,,등급 이름 / 레벨 (우측),등급 이름 입력 / 접근 레벨 셀렉트(L1~L4),,,예시: 편집자 / L2
161,설정,권한/RBAC,권한 등급 관리 탭,,문서 접근 정책 토글,"소속 도메인 문서 전체접근(ON) / 타 도메인 일반 문서 읽기전용(ON) / 대외비(ON) / 기밀(OFF) / 극비(OFF)",,,5개 보안등급별 ON/OFF
162,설정,권한/RBAC,권한 등급 관리 탭,,그래프 접근 정책 토글,"소속 도메인 노드·엣지 편집 가능(ON) / 타 도메인 노드 읽기전용(OFF) / 기밀 엔티티(설비 비밀번호·IP 등)(OFF)",,,3개 항목
163,설정,권한/RBAC,권한 등급 관리 탭,,검색 제한 토글,"접근 불가 문서 완전 제외(ON) / 접근 불가 문서 존재만 표시(OFF) / 접근 불가 노드 파생 답변 차단(ON)",,,3개 항목
164,설정,권한/RBAC,권한 등급 관리 탭,,허용 동작 토글,"문서 업로드(ON) / 그래프 편집 CRUD(ON) / 검색·질의(ON) / 설정 변경(OFF) / 사용자 관리(OFF)",,,5개 항목
165,설정,권한/RBAC,권한 등급 관리 탭,,저장 / 등급 삭제 버튼,변경 저장 및 등급 삭제(소속 사용자 존재 시 삭제 불가),,,
166,설정,권한/RBAC,문서 접근 범위 탭,,문서명 검색 입력,문서명으로 검색,,,
167,설정,권한/RBAC,문서 접근 범위 탭,,보안등급 필터 셀렉트,전체 보안등급 / 일반 / 대외비 / 기밀 / 극비,,,
168,설정,권한/RBAC,문서 접근 범위 탭,,도메인 필터 셀렉트,전체 도메인 / 인쇄공정 / 포장공정 / 품질관리,,,
169,설정,권한/RBAC,문서 접근 범위 탭,,일괄 보안등급 변경 버튼,선택된 문서들의 보안등급 일괄 변경,,,
170,설정,권한/RBAC,문서 접근 범위 탭,,문서별 접근 매트릭스 테이블,"문서명 / 도메인 / 보안등급(일반·대외비·기밀·극비) / L4~L1 등급별 접근 상태(●전체접근·●제한접근·●읽기전용·●접근불가) 색상 dot. 편집 버튼",Y,,"예시 6건: 장비매뉴얼_v2(일반/L4~L2전체·L1읽기) / SOP_인쇄공정_v3(일반) / 품질감사_결과서(대외비/L2제한·L1불가) / 기밀_설비도면_v3(기밀/L2~L1불가) / 설비비밀번호_마스터시트(극비/L3제한·L2~L1불가) / 포장공정_작업지시서(일반/L2~L1읽기)"
171,설정,권한/RBAC,문서 접근 범위 탭,,보안등급 자동 매핑 안내,"보안등급 설정 → 추출된 그래프 노드에 동일 등급 자동 상속. 기밀 이상 문서의 노드는 L2 이하 검색에서 완전 제외",,,Callout(경고) 형태
172,설정,권한/RBAC,그래프 접근 범위 탭,,도메인 필터 셀렉트,전체 도메인 / 인쇄공정 / 포장공정 / 품질관리,,,
173,설정,권한/RBAC,그래프 접근 범위 탭,,노드 접근 범위 테이블,"엔티티명 / 타입 / 출처 보안등급 / 최소 접근 레벨(셀렉트 L1~L4) / 편집 버튼",Y,,"예시 6건: 프린터 헤드(장비/일반/L1) / 잉크 점도(원자재/일반/L1) / 인쇄 불량(이슈/일반/L1) / 설비 비밀번호(보안/극비/L4) / 서버 IP 목록(보안/기밀/L3) / 감사 지적사항(이슈/대외비/L2)"
174,설정,권한/RBAC,그래프 접근 범위 탭,,접근 범위 상속 규칙 토글,"규칙1: 출처 문서 보안등급 상속(ON) / 규칙2: 최고 등급 우선 Max-Level(ON) / 규칙3: 연결 노드 전파 Propagation(OFF) / 규칙4: 도메인 경계 격리(ON)",Y,,각 규칙별 설명 표시
175,설정,권한/RBAC,그래프 접근 범위 탭,,보안등급별 노드 통계,"일반(1,312개/71.0%) / 대외비(312개/16.9%) / 기밀(178개/9.6%) / 극비(45개/2.4%) 프로그레스 바",,,
176,설정,권한/RBAC,접근 감사 로그 탭,,발생일시 필터,"날짜 범위(시작~종료) + 빠른 선택(직접입력·1주일·1개월·3개월·6개월·1년)",,,
177,설정,권한/RBAC,접근 감사 로그 탭,,처리구분 체크박스,"전체 / 검색 / 탐색 / 편집 / 삭제 / 다운로드 — 복수 선택 가능",,,
178,설정,권한/RBAC,접근 감사 로그 탭,,검색키워드,"범위 셀렉트(전체·사용자·대상·사유) + 키워드 입력",,,
179,설정,권한/RBAC,접근 감사 로그 탭,,검색 / 초기화 / 다운로드 버튼,"필터 적용 검색 / 필터 초기화 / 로그 CSV 다운로드",,,
180,설정,권한/RBAC,접근 감사 로그 탭,,접근 이벤트 로그 테이블,"시간 / 사용자 / 권한(등급 태그) / 이벤트(검색·탐색·편집·삭제·다운로드·권한 변경) / 대상 / 결과(허용·차단·제한·완료 배지) / 사유",Y,,"예시 8건: 이품질(편집자)→기밀설비도면 검색→차단(L3이상 필요) / 이품질→장비매뉴얼 검색→허용(소속도메인) / 최사원(뷰어)→품질감사결과서 다운로드→차단(L1 접근불가) / 정설비(편집자)→포장공정 노드 탐색→제한(타도메인 읽기전용) / 김인턴(뷰어)→설비 비밀번호 노드 검색→차단(극비 L4전용) / 박QA팀장(관리자)→이품질 권한변경(뷰어→편집자)→완료 / 김인턴→서버IP 노드 검색→차단(기밀 L3이상) / 정설비→인쇄불량→프린터헤드 관계 편집→허용(소속도메인 일반노드)"
